price_trend_id,month,price,product_id
1,6,20300,87
2,7,25170,87
3,8,26910,87
4,9,25340,87
5,10,24380,87
6,11,23740,87
7,6,7200,88
8,7,6820,88
9,8,7580,88
10,9,7250,88
11,10,6860,88
12,11,7110,88
13,6,46100,89
14,7,47090,89
15,8,47760,89
16,9,46400,89
17,10,46520,89
18,11,47920,89
19,6,48500,90
20,7,49790,90
21,8,50670,90
22,9,54510,90
23,10,53940,90
24,11,51070,90
25,6,12700,91
26,7,14520,91
27,8,13610,91
28,9,12840,91
29,10,13970,91
30,11,13930,91
31,6,29700,92
32,7,32470,92
33,8,31890,92
34,9,32670,92
35,10,32120,92
36,11,33240,92
37,6,31100,93
38,7,33760,93
39,8,32800,93
40,9,31260,93
41,10,31510,93
42,11,34920,93
43,6,26400,94
44,7,25270,94
45,8,26280,94
46,9,26960,94
47,10,27190,94
48,11,25080,94
49,6,6900,95
50,7,7640,95
51,8,7830,95
52,9,5640,95
53,10,6390,95
54,11,7060,95
55,6,24700,96
56,7,25860,96
57,8,23760,96
58,9,23200,96
59,10,25460,96
60,11,25860,96
61,6,46300,97
62,7,43350,97
63,8,47190,97
64,9,46260,97
65,10,46130,97
66,11,47180,97
67,6,15000,98
68,7,13640,98
69,8,16450,98
70,9,16680,98
71,10,13790,98
72,11,15210,98
73,6,4200,99
74,7,5350,99
75,8,3800,99
76,9,5730,99
77,10,5180,99
78,11,5740,99
79,6,20400,100
80,7,23210,100
81,8,21970,100
82,9,20300,100
83,10,19360,100
84,11,18260,100
85,6,18600,101
86,7,18990,101
87,8,18460,101
88,9,18530,101
89,10,18520,101
90,11,18600,101
91,6,48500,102
92,7,47950,102
93,8,47310,102
94,9,48450,102
95,10,48710,102
96,11,48660,102
97,6,12100,103
98,7,12760,103
99,8,12740,103
100,9,11980,103
101,10,12770,103
102,11,13400,103
103,6,15900,104
104,7,15530,104
105,8,15620,104
106,9,15710,104
107,10,15530,104
108,11,16200,104
109,6,28500,105
110,7,28720,105
111,8,28030,105
112,9,28970,105
113,10,28490,105
114,11,28160,105
115,6,29000,106
116,7,28470,106
117,8,28250,106
118,9,28920,106
119,10,29650,106
120,11,29710,106
121,6,16400,107
122,7,17760,107
123,8,17870,107
124,9,17920,107
125,10,16850,107
126,11,16630,107
127,6,28200,108
128,7,27580,108
129,8,27560,108
130,9,28110,108
131,10,27560,108
132,11,28610,108
133,6,10900,109
134,7,10830,109
135,8,11640,109
136,9,11990,109
137,10,11540,109
138,11,11070,109
139,6,39400,110
140,7,38140,110
141,8,38230,110
142,9,38890,110
143,10,38360,110
144,11,39500,110
145,6,33400,111
146,7,34060,111
147,8,34400,111
148,9,33560,111
149,10,34940,111
150,11,33270,111
151,6,27200,112
152,7,27960,112
153,8,26950,112
154,9,28770,112
155,10,28770,112
156,11,26040,112
157,6,37400,113
158,7,35610,113
159,8,38890,113
160,9,36060,113
161,10,38240,113
162,11,36390,113
163,6,24700,114
164,7,28410,114
165,8,26810,114
166,9,25620,114
167,10,27060,114
168,11,25710,114
169,6,1700,115
170,7,1780,115
171,8,1600,115
172,9,1620,115
173,10,1680,115
174,11,1600,115
175,6,11800,116
176,7,11360,116
177,8,11780,116
178,9,10550,116
179,10,12710,116
180,11,11830,116
181,6,2900,117
182,7,2590,117
183,8,3120,117
184,9,2960,117
185,10,2930,117
186,11,3300,117
187,6,11400,118
188,7,10680,118
189,8,12580,118
190,9,11930,118
191,10,12140,118
192,11,10570,118
193,6,2600,119
194,7,2480,119
195,8,2510,119
196,9,2340,119
197,10,2490,119
198,11,2750,119
199,6,22300,120
200,7,22590,120
201,8,23580,120
202,9,23720,120
203,10,22840,120
204,11,22030,120
205,6,29500,121
206,7,26250,121
207,8,30780,121
208,9,28160,121
209,10,26080,121
210,11,27150,121
211,6,16000,122
212,7,15590,122
213,8,18280,122
214,9,18550,122
215,10,16080,122
216,11,17610,122
217,6,26800,123
218,7,29070,123
219,8,26440,123
220,9,28630,123
221,10,27490,123
222,11,28230,123
223,6,41600,124
224,7,41430,124
225,8,42580,124
226,9,41660,124
227,10,42570,124
228,11,40260,124
229,6,34100,125
230,7,33870,125
231,8,33180,125
232,9,34020,125
233,10,34230,125
234,11,34120,125
235,6,5400,126
236,7,4390,126
237,8,4240,126
238,9,4110,126
239,10,5980,126
240,11,6520,126
