product_id,category,code,price,product_name
1,국내주식,100,60800,삼성전자
2,국내채권(장내),101,15600,농금채(중앙회)2023-11이2Y-C
3,해외주식,102,61100,BABA
4,국내주식,103,59700,캡스톤파트너스
5,국내ETF,104,87700,TIGER 단기채권액티브
6,국내주식,105,21300,에스와이스틸텍
7,국내채권(장내),106,72600,인천교통공사2023-01(녹)
8,해외주식,107,42900,PG
9,국내주식,108,70200,메가터치
10,국내ETF,109,63900,비아이매트릭스
11,국내주식,110,59600,컨텍
12,국내채권(장내),111,94400,한국공항공사13
13,해외주식,112,88400,XXZ
14,국내주식,113,71400,포스코인터내셔널
15,국내ETF,114,13800,세니젠
16,국내주식,115,87700,신시웨이
17,국내채권(장내),116,29300,인천교통공사2022-01(녹)
18,해외주식,117,81300,CXA
19,국내주식,118,23600,퀄리타스반도체
20,국내ETF,119,86400,KRX200
21,국내주식,120,6000,워트
22,국내채권(장내),121,40600,고양도시관리공사보상(일산)2021-01가
23,해외주식,122,14500,BDC
24,국내주식,123,43600,퓨릿
25,국내ETF,124,96800,바이오텐
26,국내주식,125,44700,에이치엠씨제6호스팩
27,국내채권(장내),126,63700,대구교통공사49
28,해외주식,127,23700,DSX
29,국내주식,128,56000,두산로보틱스
30,국내ETF,129,20000,신한제11호스팩
31,국내주식,130,12200,한싹
32,국내채권(장내),131,68500,대구교통공사51
33,해외주식,132,7600,DGA
34,국내주식,133,10800,우듬지팜
35,국내ETF,134,64300,코어라인소프트
36,국내주식,135,91200,STX그린로지스
37,국내채권(장내),136,27700,토지주택채권96
38,해외주식,137,54000,GE
39,국내주식,138,58200,한화플러스제4호스팩
40,국내ETF,139,41300,대신밸런스제16호스팩
41,국내주식,140,48900,유안타제11호스팩
42,국내채권(장내),141,48900,토지주택채권(용지)23-10
43,해외주식,142,47600,DSS
44,국내주식,143,23000,한국제12호스팩
45,국내ETF,144,9800,한국피아이엠
46,국내주식,145,85600,시큐레터
47,국내채권(장내),146,39800,토지주택채권(용지)23-11
48,해외주식,147,62200,DADS
49,국내주식,148,43000,빅텐츠
50,국내ETF,149,4100,SK증권제10호스팩
51,국내주식,150,16600,KB제26호스팩
52,국내채권(장내),151,99100,토지주택채권(용지)22-06
53,해외주식,152,77100,FWW
54,국내주식,153,41100,하나28호스팩
55,국내ETF,154,39600,NICE평가정보
56,국내주식,155,60100,파두
57,국내채권(장내),156,86600,토지주택채권(용지)22-04
58,해외주식,157,12600,LCL
59,국내주식,158,65100,에피바이오텍
60,국내ETF,159,6900,조선내화
61,국내주식,160,30700,에이엘티
62,국내채권(장내),161,95600,토지주택채권(용지)22-03
63,해외주식,162,51500,TXC
64,국내주식,163,89800,길교이앤씨
65,국내ETF,164,88300,버넥트
66,국내주식,165,38700,뷰티스킨
67,국내채권(장내),166,78600,SK증권제9호스팩
68,해외주식,167,34900,SDA
69,국내주식,168,5600,센서뷰
70,국내ETF,169,94700,아이엠지티
71,국내주식,170,74000,필에너지
72,국내채권(장내),171,53800,토지주택채권(용지)22-01
73,해외주식,172,24800,POD
74,국내주식,173,95200,이노시뮬레이션
75,국내ETF,174,61200,이브이파킹서비스
76,국내주식,175,76600,알멕
77,국내채권(장내),176,18500,토지주택채권(용지)21-07
78,해외주식,177,5500,DOO
79,국내주식,178,44300,하나29호스팩
80,국내ETF,179,82900,KB제25호스팩
81,국내주식,180,84400,엔에이치스팩29호
82,국내채권(장내),181,62200,하이제8호스팩
83,해외주식,182,67700,NVDA
84,국내주식,183,69700,비에이치
85,국내ETF,184,12500,동국씨엠
86,국내주식,188,26200,마녀공장
87,국내ETF,189,20300,나라셀라
88,국내주식,190,7200,진영
89,국내채권(장내),191,46100,토지주택채권(용지)21-36
90,해외주식,192,48500,AWS
91,국내주식,193,12700,기가비스
92,국내ETF,194,29700,팸텍
93,국내주식,195,31100,모니터랩
94,국내채권(장내),196,26400,토지주택채권(용지)22-06
95,해외주식,197,6900,LOTC
96,국내주식,198,24700,키움제8호스팩
97,국내ETF,199,46300,트루엔
98,국내주식,200,15000,삼미금속
99,국내채권(장내),201,4200,토지주택채권(용지)22-12
100,해외주식,202,20400,INTC
101,국내주식,203,18600,토마토시스템
102,국내ETF,204,48500,마이크로투나노
103,국내주식,205,12100,셀바이오휴먼텍
104,국내채권(장내),206,15900,토지주택채권(용지)22-32
105,해외주식,207,28500,AMD
106,국내주식,208,29000,삼성FN리츠
107,국내ETF,209,16400,현대그린푸드
