product_id,category,product_name,code,category,price
1,국내주식,삼성전자,100,1001,95000
2,국내주식,스톰테크,101,1002,16670
3,국내주식,에코프로머티,102,1003,68190
4,국내주식,캡스톤파트너스,103,1004,20170
5,국내주식,프로젠,104,1005,92170
6,국내주식,에스와이스틸텍,105,1006,54280
7,국내주식,에이직랜드,106,1007,88520
8,국내주식,한국제13호스팩,107,1008,37810
9,국내주식,메가터치,108,1009,17900
10,국내주식,비아이매트릭스,109,1010,42240
11,국내주식,컨텍,110,1011,81320
12,국내주식,큐로셀,111,1012,20160
13,국내주식,쏘닉스,112,1013,37570
14,국내주식,KB제27호스팩,113,1014,68510
15,국내주식,세니젠,114,1015,60650
16,국내주식,신시웨이,115,1016,37690
17,국내주식,유진테크놀로지,116,1017,96480
18,국내주식,유투바이오,117,1018,16350
19,국내주식,퀄리타스반도체,118,1019,43090
20,국내주식,미쥬,119,1020,79640
21,국내주식,워트,120,1021,58180
22,국내주식,에스엘에스바이오,121,1022,95950
23,국내주식,신성에스티,122,1023,22230
24,국내주식,퓨릿,123,1024,67980
25,국내주식,바이오텐,124,1025,58680
26,국내주식,에이치엠씨제6호스팩,125,1026,19770
27,국내주식,아이엠티,126,1027,17140
28,국내주식,레뷰코퍼레이션,127,1028,90460
29,국내주식,두산로보틱스,128,1029,84470
30,국내주식,신한제11호스팩,129,1030,80320
31,국내주식,한싹,130,1031,75860
32,국내주식,밀리의서재,131,1032,19160
33,국내주식,인스웨이브시스템즈,132,1033,65780
34,국내주식,우듬지팜,133,1034,43150
35,국내주식,코어라인소프트,134,1035,22330
36,국내주식,STX그린로지스,135,1036,33570
37,국내주식,상상인제4호스팩,136,1037,99380
38,국내주식,율촌,137,1038,61920
39,국내주식,한화플러스제4호스팩,138,1039,86590
40,국내주식,대신밸런스제16호스팩,139,1040,95330
41,국내주식,유안타제11호스팩,140,1041,46380
42,국내주식,크라우드웍스,141,1042,76600
43,국내주식,대신밸런스제15호스팩,142,1043,51270
44,국내주식,한국제12호스팩,143,1044,85170
45,국내주식,한국피아이엠,144,1045,39120
46,국내주식,시큐레터,145,1046,71210
47,국내주식,스마트레이더시스템,146,1047,43930
48,국내주식,넥스틸,147,1048,61240
49,국내주식,빅텐츠,148,1049,97850
50,국내주식,SK증권제10호스팩,149,1050,11890
51,국내주식,KB제26호스팩,150,1051,84130
52,국내주식,코츠테크놀로지,151,1052,31960
53,국내주식,큐리옥스바이오시스템즈,152,1053,72390
54,국내주식,하나28호스팩,153,1054,22110
55,국내주식,NICE평가정보,154,1055,95920
56,국내주식,파두,155,1056,36010
57,국내주식,엠아이큐브솔루션,156,1057,45860
58,국내주식,시지트로닉스,157,1058,97180
59,국내주식,에피바이오텍,158,1059,41670
60,국내주식,조선내화,159,1060,46320
61,국내주식,에이엘티,160,1061,37970
62,국내주식,유안타제14호스팩,161,1062,86300
63,국내주식,파로스아이바이오,162,1063,30360
64,국내주식,길교이앤씨,163,1064,35480
65,국내주식,버넥트,164,1065,12920
66,국내주식,뷰티스킨,165,1066,96880
67,국내주식,SK증권제9호스팩,166,1067,94290
68,국내주식,와이랩,167,1068,34420
69,국내주식,센서뷰,168,1069,82620
